Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    12672       -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   12642       -        [256, 98]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 98]     float32 
unet_model.net  445538      -        [256, 98]     float32 
vnet_model.net  445538      -        [256, 98]     float32 
<top-level>:0   196         -        [256, 98]     float32 
<top-level>:1   -           -        [256, 98]     float32 
<top-level>:2   -           -        [256, 98]     float32 
<top-level>:3   -           -        [256, 98]     float32 
<top-level>:4   -           -        [256, 98]     float32 
<top-level>:5   -           -        [256, 98]     float32 
---             ---         ---      ---           ---     
Total           982634      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 71    sec/tick 0.8     sec/kimg 0.05    dyn_loss 326.721 total_loss 1634.696
tick 72    sec/tick 0.6     sec/kimg 0.04    dyn_loss 270.283 total_loss 1447.459
tick 73    sec/tick 0.6     sec/kimg 0.04    dyn_loss 257.596 total_loss 1504.071
tick 74    sec/tick 0.6     sec/kimg 0.04    dyn_loss 287.268 total_loss 1446.882
tick 75    sec/tick 0.6     sec/kimg 0.04    dyn_loss 277.837 total_loss 1570.531
tick 76    sec/tick 0.6     sec/kimg 0.04    dyn_loss 316.852 total_loss 1450.601
tick 77    sec/tick 0.6     sec/kimg 0.04    dyn_loss 303.272 total_loss 1525.010
tick 78    sec/tick 0.6     sec/kimg 0.04    dyn_loss 179.389 total_loss 1388.648
tick 79    sec/tick 0.6     sec/kimg 0.04    dyn_loss 250.172 total_loss 1519.997
tick 80    sec/tick 0.6     sec/kimg 0.04    dyn_loss 227.135 total_loss 1463.815
tick 81    sec/tick 0.6     sec/kimg 0.04    dyn_loss 180.062 total_loss 1359.451
tick 82    sec/tick 0.6     sec/kimg 0.04    dyn_loss 204.127 total_loss 1326.351
tick 83    sec/tick 0.6     sec/kimg 0.04    dyn_loss 214.981 total_loss 1317.356
tick 84    sec/tick 0.6     sec/kimg 0.04    dyn_loss 236.800 total_loss 1346.717
tick 85    sec/tick 0.7     sec/kimg 0.04    dyn_loss 234.656 total_loss 1368.073
tick 86    sec/tick 0.6     sec/kimg 0.04    dyn_loss 216.169 total_loss 1235.288
tick 87    sec/tick 0.6     sec/kimg 0.04    dyn_loss 200.078 total_loss 1216.539
tick 88    sec/tick 0.6     sec/kimg 0.04    dyn_loss 213.845 total_loss 1338.052
tick 89    sec/tick 0.6     sec/kimg 0.04    dyn_loss 163.194 total_loss 1218.138
tick 90    sec/tick 0.6     sec/kimg 0.04    dyn_loss 171.246 total_loss 1255.963
tick 91    sec/tick 0.6     sec/kimg 0.04    dyn_loss 168.546 total_loss 1288.377
tick 92    sec/tick 0.6     sec/kimg 0.04    dyn_loss 193.663 total_loss 1320.297
tick 93    sec/tick 0.6     sec/kimg 0.04    dyn_loss 192.543 total_loss 1225.859
tick 94    sec/tick 0.7     sec/kimg 0.05    dyn_loss 165.957 total_loss 1251.280
tick 95    sec/tick 0.6     sec/kimg 0.04    dyn_loss 177.023 total_loss 1309.396
tick 96    sec/tick 0.6     sec/kimg 0.04    dyn_loss 162.537 total_loss 1190.017
tick 97    sec/tick 0.6     sec/kimg 0.04    dyn_loss 150.347 total_loss 1258.733
tick 98    sec/tick 0.6     sec/kimg 0.04    dyn_loss 132.255 total_loss 1161.125
tick 99    sec/tick 0.6     sec/kimg 0.04    dyn_loss 129.887 total_loss 1093.614
tick 100   sec/tick 0.6     sec/kimg 0.04    dyn_loss 122.880 total_loss 1218.456
tick 101   sec/tick 0.6     sec/kimg 0.04    dyn_loss 154.351 total_loss 1218.822
tick 102   sec/tick 0.6     sec/kimg 0.04    dyn_loss 128.924 total_loss 1152.273
tick 103   sec/tick 0.6     sec/kimg 0.04    dyn_loss 116.600 total_loss 1121.271
tick 104   sec/tick 0.6     sec/kimg 0.04    dyn_loss 125.746 total_loss 1119.017
tick 105   sec/tick 0.6     sec/kimg 0.04    dyn_loss 107.125 total_loss 1100.112
tick 106   sec/tick 0.6     sec/kimg 0.04    dyn_loss 126.558 total_loss 1065.006
tick 107   sec/tick 0.6     sec/kimg 0.04    dyn_loss 129.300 total_loss 1155.760
tick 108   sec/tick 0.6     sec/kimg 0.04    dyn_loss 94.341  total_loss 1111.786
tick 109   sec/tick 0.6     sec/kimg 0.04    dyn_loss 112.518 total_loss 1215.551
tick 110   sec/tick 0.6     sec/kimg 0.04    dyn_loss 110.039 total_loss 1182.978
tick 111   sec/tick 0.6     sec/kimg 0.04    dyn_loss 135.368 total_loss 1114.335
tick 112   sec/tick 0.6     sec/kimg 0.04    dyn_loss 108.516 total_loss 1093.812
tick 113   sec/tick 0.6     sec/kimg 0.04    dyn_loss 109.960 total_loss 1159.975
tick 114   sec/tick 0.6     sec/kimg 0.04    dyn_loss 103.485 total_loss 1252.891
tick 115   sec/tick 0.6     sec/kimg 0.04    dyn_loss 103.200 total_loss 1188.543
tick 116   sec/tick 0.6     sec/kimg 0.04    dyn_loss 91.504  total_loss 1092.556
tick 117   sec/tick 0.6     sec/kimg 0.04    dyn_loss 91.955  total_loss 1038.607
tick 118   sec/tick 0.7     sec/kimg 0.05    dyn_loss 74.778  total_loss 1080.013
tick 119   sec/tick 0.6     sec/kimg 0.04    dyn_loss 91.077  total_loss 1113.976
tick 120   sec/tick 0.6     sec/kimg 0.04    dyn_loss 91.080  total_loss 1065.396
tick 121   sec/tick 0.6     sec/kimg 0.04    dyn_loss 71.067  total_loss 1059.185
tick 122   sec/tick 0.6     sec/kimg 0.04    dyn_loss 75.398  total_loss 1048.874
tick 123   sec/tick 0.6     sec/kimg 0.04    dyn_loss 71.760  total_loss 1092.068
tick 124   sec/tick 0.7     sec/kimg 0.04    dyn_loss 73.599  total_loss 1070.277
tick 125   sec/tick 0.7     sec/kimg 0.04    dyn_loss 72.526  total_loss 1066.320
tick 126   sec/tick 0.7     sec/kimg 0.04    dyn_loss 73.641  total_loss 1125.558
tick 127   sec/tick 0.6     sec/kimg 0.04    dyn_loss 69.756  total_loss 1090.407
